#번호	KO (적 정보 화면 설명 — tools/prf.py 가 한 줄 10자로 접는다, \n = 강제 줄바꿈)
0	머리가 둘 달린 새입니다. 강한 발톱과 입에서 뿜는 용해액을 조심해야 합니다. 하늘의 적에게는 활이 효과적이겠지요.
1	도마뱀을 닮은 몬스터로, 괴력과 단단한 가죽 때문에 고전하게 될 것입니다. 마법에는 약한 듯합니다.
2	얼빠진 겉모습과 달리 강력한 마법을 쓰는 몬스터입니다. 대신 맷집이 약하니 무기로 재빨리 쓰러뜨리는 것이 좋겠지요.
3	사악한 힘을 받아 되살아난 죽은 기사입니다. 신성계 마법이나 영체를 직접 공격할 수 있는 무기를 쓰세요.
4	한 관념에 집착한 나머지 도리어 정신을 빼앗긴 불쌍한 남자의 말로입니다. 그가 죽어도 그 사상은 끊이지 않겠지요.
5	하늘에서 덮치는 강한 부리와 상대의 마음을 홀리는 힘을 조심해야 합니다. 활을 잘 쓰세요.
6	정말 방심할 수 없는 몬스터로, 빠른 공격과 몸놀림에 상대의 공격을 간파해 반격하는 기술도 있습니다.
7	모습을 감추고 목표에 다가오는 무서운 몬스터입니다. 마법으로 싸우는 게 좋겠지요.
8	몸에서 전기를 일으키는 거대한 도마뱀입니다. 타격력도 만만찮으니 멀리서 마법으로 공격하세요.
9	불가사의한 힘을 지닌 몬스터입니다. 연달아 날아드는 마법에 어떻게 대처하느냐가 관건이겠지요.
10	곤충을 거대하게 키운 듯한 몬스터입니다. 「웜킬러」라는 검을 쓰면 싸움이 한결 유리해지겠지요.
11	무서운 죽음의 마법을 쓰는 유령입니다. 마법이나 영체에 듣는 무기로 공격하지 않으면 피해를 줄 수 없겠지요.
12	겉모습에 속기 쉽지만 매우 위험한 유령입니다. 마법이나 영체에 듣는 무기 없이는 맞설 수 없겠지요.
13	개구리 모습의 언데드 몬스터입니다. 신성계 마법이나 영체에 듣는 무기로 싸우세요.
14	끝없는 마력을 지닌 언데드 몬스터입니다. 신성계 마법이나 영체에 듣는 무기로 마법을 쓰기 전에 공격하세요.
15	기괴한 모습의 언데드 몬스터입니다. 주위 공기에 녹아들듯 사냥감을 노리는 습성이 있습니다.
16	아름다운 몸으로 다가오는 자를 홀려 잡아먹는 몬스터입니다. 먼 곳에서 오는 마법 공격도 조심하세요.
17	이 숲의 화신이라 할 무서운 몬스터입니다. 숲과 하나가 된 그들이 다가오면 매우 성가십니다.
18	사람 마음의 약점을 파고드는 마법을 잘 쓰는 몬스터입니다. 수상한 춤에 마음을 빼앗기면 안 됩니다.
19	카오스가 낳은 악의의 화신 같은 몬스터입니다. 공격이 강하고 사정이 길어 매우 성가신 상대입니다.
20	시간의 틈새로 쫓겨났던 마룡이 불사의 몸으로 되살아났습니다. 용에 맞설 무기는 절로 한정되겠지요.
21	그 특이한 힘은 모두에게 공평하게 죽음을 줍니다. 생명력이 당신의 운명을 정하겠지요.
22	마법을 자유롭게 부리는 마도체입니다. 이 몬스터에게 마법으로 맞서는 건 좋은 수가 아닙니다. 검의 힘이 생사를 가르겠지요.
23	카오스가 낳은 최강 최악의 마수입니다. 머리마다 검술과 마력을 맡고 있는 듯합니다.
24	세상의 혼란을 틈타 늘어나는 도적입니다. 특히 국경을 넘는 사람을 노립니다.
25	활과 단검으로 무장한 바다의 무법자들입니다. 배에서 배로 건너뛰는 그들과의 근접전은 고전하겠지요.
26	늘 전장 최전선에서 싸우도록 훈련받은 강인한 병사입니다.
27	바늘구멍도 꿰뚫는다는 활의 명수들입니다. 먼 곳에서 오는 공격을 조심하세요.
28	검술을 닦은 자들로, 특히 난전에서 애를 먹겠지요. 수에 밀리지 않도록 마법 등을 잘 쓰세요.
29	일반 공격으로 받은 피해를 자기 힘으로 바꾸는 무서운 능력이 있습니다. 마법 공격이 효과적이겠지요.
30	교단장의 신탁 아래 모인 신자들입니다. 사교에 홀려 제정신이 아니며 제 몸을 돌보지 않고 덤비니 위험합니다.
31	전장에서 쓸 마법을 익힌 병사들입니다. 별의 힘을 빌려 제 실력을 발휘하는 듯합니다.
32	전투 본능이 형태를 이룬 광전사입니다. 적의 어린 눈빛은 한 번 노려보기만 해도 병사의 전의를 꺾습니다.
33	동방의 하급 닌자입니다. 전투 훈련은 별로 받지 않았지만 수상한 술법들을 조심하세요.
34	동방의 전투 종족입니다. 마을을 이루고 철저히 전투 훈련을 쌓습니다. 일도양단을 신조로 하는 그들의 싸움에 휘둘리면 안 됩니다.
35	동방 닌자 중에서도 최고급 전사들입니다. 그들의 거리에 들어가는 것은 곧 죽음을 뜻합니다.
36	번개 마법을 쓰는 마도사입니다. 육탄전에는 약하니 술법 사이사이 과감하게 공격하세요.
37	불과 냉기 마법을 자유롭게 쓰는 마도사입니다. 근접전에 약한 것은 모든 마도사의 공통점입니다.
38	대지의 정령을 움직여 마법을 쓰는 마도사들입니다. 회복 마법도 쓰니 싸움이 길어지면 위험합니다.
39	카오스가 낳은 흉악한 마도사입니다. 존재 자체가 카오스라서 사람을 혼란시키는 강한 힘이 있습니다. 매우 조심해야겠지요.
40	단단해 보이지만 의외로 무른 바위입니다. 여러 번 치면 반드시 부술 수 있겠지요.
41	무거워 보이지만 의외로 가벼운 바위입니다. 던지거나 밀면 치울 수 있겠지요.
42	동방 오보로 계곡에 숨어 사는 공주였지만, 그 뛰어난 능력에 눈독 들인 겐유사이가 출정 때 간부로 들인 듯합니다.
43	겐유사이 곁을 지키는 간부 중에서도 실력이 뛰어난 동방의 닌자 전사입니다. 이 두꺼운 벽이 있는 한 겐유사이의 패권이 흔들릴 일은 없겠지요.
44	정체가 온통 수수께끼에 싸인 전사입니다. 수인화 능력이 있지만 사실 그가 수인족임을 증명하는 것은 아무것도 없습니다.
45	금지된 가르침에 손대 파문당한 동방의 파계승입니다. 산을 내려오다 겐유사이를 만나 단 한 번의 문답만으로 영원한 복종을 맹세했다고 합니다.
46	「불사의 몸을 지닌 자」라는 이름대로 그를 없앨 방법은 저도 모릅니다. 그런 방법이 있는지조차 짐작할 수 없습니다.
47	동방의 패자, 되살아난 명왕, 죽은 자의 신... 그에게 붙은 이름은 이루 다 셀 수 없습니다. 감춰진 힘의 전모는 알 수 없지만 반드시 약점이 있을 것입니다.
48	퀸즈랜드의 재상이던 남자입니다. 정치 수완도 수완이지만 안에 감춘 강대한 마력으로 국정을 도왔던 듯합니다.
49	사악한 정신과 카오스의 힘이 합쳐져 기이한 모습으로 변했습니다. 그는 지금 이 땅에서 최강 최악입니다.
50	퀸즈랜드의 재상이던 남자군요. 겉보기엔 소심해 보이지만 속에 어떤 야망을 품었는지 알 수 없습니다.
51	퀸즈랜드 여왕국의 왕자입니다. 남자라서 궁정에서 푸대접을 받은 듯하지만 지금은 나라를 구하는 훌륭한 전사로 자랐습니다. 결단력이 약한 게 걱정입니다.
52	동방의 야마타이국에서 마장군 겐유사이를 따라 이 땅에 온 닌자 전사입니다.
53	퀸즈랜드 궁정을 섬기던 승려로, 쫓겨난 왕자와 함께 겐유사이를 쓰러뜨릴 여행을 하고 있습니다. 여러 마법을 능숙하게 다루는 듯합니다.
54	군인으로 퀸즈랜드 궁정을 섬기다 퇴역 후 왕자의 교육을 맡았습니다. 여왕이 떠난 뒤 왕자의 성장을 바라는 마음은 누구에게도 지지 않겠지요. 활 솜씨는 아직도 녹슬지 않은 듯합니다.
55	사자 머리를 한 수인 전사입니다. 왕자의 여행에 동행하지만 그 목적도 정체도 밝혀지지 않았습니다. 전장에서는 전위에 설 큰 전력으로 모두의 신뢰를 얻고 있습니다.
56	동방의 닌자 전사\n%s1를 따르는 『식신』입니다. 마법과 활을 다루며 어느 정도 스스로 판단해 움직입니다.
57	동방의 닌자 전사\n%s1를 따르는 『식신』입니다. 칼과 수리검 공격이 특기인 듯합니다.
58	세계의 높은 산에만 산다는 “운해의 삼현자” 중 한 명입니다. 둔중한 인상 그대로 늘 느긋하게 움직입니다. 무기를 싫어하는 대신 여러 마법을 능숙하게 다룹니다.
59	드래군 국왕의 근위부대 “용기사단”의 젊은 기사입니다. 드래곤으로 변하는 “용변화”라는 특수 능력이 있어 전장에서 그 힘을 유감없이 발휘합니다.
60	마법서에 나오는 “전설의 마도사”가 아니냐는 소문이 도는 마법사입니다. 진위야 어떻든 절대적인 마력을 지닌 듯합니다.
61	세상을 떠들썩하게 하는 “괴도 나이트버드” 바로 그 사람입니다. 약자의 편이라는 신조로 서민에게 인기가 높지만 남에게 마음을 여는 건 서툰 듯합니다.
62	해적선 “가루다호”의 선장인 여해적입니다. 몇 년 전 미디국 근해에 나타나 순식간에 상선 뱃사람들이 두려워하는 존재가 되었습니다.
63	로삼국에 잠든 신전 터를 지키는 거인입니다. 시간에 뒤처져 이제는 말도 통하지 않지만 적어도 그에게서 악의는 느껴지지 않습니다.
64	마음씨 고운 퀸즈랜드의 여왕. 강함과 아름다움을 갖춘 지상의 여신... 영혼을 빼앗기고도 아직 제 아이의 모습을 찾는 것일까요.
65	드래군 국왕에게 충성을 맹세하고 역사에 남을 대전들을 승리로 이끈 용맹한 병사들. 대는 바뀌어도 고귀한 정신은 그대로입니다.
66	드래군 용기사단의 이름을 천하에 떨치게 한 까닭은 모두 이 용맹한 모습에 드러나 있습니다. 「최강 군단」이란 이름에 걸맞은 모습이지요.
67	무슨 인과인지 사교단에 붙잡혀 신에게 바쳐지려는 불쌍한 소녀입니다. 어떻게든 구할 수 없을까요.
68	이 숲에 사는 요정인 듯하군요. 요정이라 해도 종류는 여러 가지라 그녀에 대해선 저도 잘 모르겠습니다.
