#번호	종류	자리수	예산	예시위치	JP	KO
0	map	102	39	/AWRD.MAP@141045	　\n　\n　　　扉は開きませんでした。%b%V0	　\n　\n　　　문이 열리지 않았다.%b%V0
1	map	99	35	/AWRD.MAP@141103	　\n　\n宝箱は開きませんでした。%b%V0	　\n　\n상자가 열리지 않았다.%b%V0
2	map	3	16	/AWRD.MAP@141145	中に入りますか？	들어갈까요?
3	map	23	4	/AWRD.MAP@141162	入る	예
4	map	23	8	/AWRD.MAP@141167	入らない	아니오
5	map	2	39	/AWRD.MAP@141217	オレたちは、\nここを通って来たんだ。%b%h	우리는\n여기를 지나서 왔지.%b%h
6	map	2	51	/AWRD.MAP@141288	・・・もう一度ここを通ることは、\nあるんだろうか？%b	…다시 여길 지나갈 일이\n있을까?%b
7	map	1	28	/AWRD.MAP@141371	ここがカカルクラン・・・。%b	여기가 카칼클랜….%b
8	map	1	58	/AWRD.MAP@141431	・・・で、\nあれがゲンユウサイの本拠\n・・・ってワケだ。%b%h	…그리고\n저게 겐유사이의 본거지\n…라는 거군.%b%h
9	map	1	26	/AWRD.MAP@141521	とっとと入っちまおうぜ。%b	얼른 들어가자고.%b
10	map	1	18	/AWRD.MAP@141579	う、うん・・・。%b	으, 응….%b
11	map	1	37	/AWRD.MAP@141629	なんだぁ！？\nビビってんのかぁ！？%b%h	뭐야!?\n쫄았냐!?%b%h
12	map	1	37	/AWRD.MAP@141698	おいおい・・・\nしっかりしてくれよ。%b	이봐 이봐…\n정신 좀 차리라고.%b
13	map	1	22	/AWRD.MAP@141767	わ、わかってるよ。%b%h	아, 알고 있어.%b%h
14	map	1	90	/AWRD.MAP@141821	ただ、\nこれからのボクたちの行動しだいで、世界の行方が決まってしまうのかと\n思うと・・・。%b	다만,\n이제부터 우리 행동에 따라 세계의 행방이 정해져 버린다고\n생각하니….%b
15	map	1	35	/AWRD.MAP@141943	まぁな。\nたしかに気は重いよな。%b%h	그렇지.\n확실히 마음이 무겁지.%b%h
16	map	1	70	/AWRD.MAP@142010	・・・けどよ、\nこんなトコでなやんでたって、\n解決にはなんねぇだろ？%b%h	…그래도 말이야,\n이런 데서 고민해 봤자\n해결은 안 되잖아?%b%h
17	map	1	55	/AWRD.MAP@142112	どうにかなっちまう前に、\nやるコトやっておかねぇとな。%b	어떻게 되기 전에\n할 일은 해 둬야지.%b
18	map	1	18	/AWRD.MAP@142199	そ、そうだね。%b%h	그, 그렇네.%b%h
19	map	1	56	/AWRD.MAP@142249	とにかく行ってみよう、\nゲンユウサイの待つ、\n魔の城へ！%b	아무튼 가 보자,\n겐유사이가 기다리는\n마의 성으로!%b
20	map	1	28	/AWRD.MAP@142491	私は%s0に\nついて行くわよ。%b	난 %s0를\n따라갈 거야.%b
21	map	1	62	/AWRD.MAP@142551	ぼっちゃま、\nじいはどこまでも\nぼっちゃまについて行きますぞ。%b	도련님,\n이 할아범은 어디까지나\n도련님을 따라가겠습니다.%b
22	map	1	20	/AWRD.MAP@142645	それしかなかろう。%b	그 수밖에 없겠지.%b
23	map	1	28	/AWRD.MAP@142697	だいじょーぶだって、\n%s1！%b	괜찮다니까,\n%s1!%b
24	map	1	53	/AWRD.MAP@142757	どうしたい、大将。\n今度は大将がビビっちまったかい？%b	왜 그래, 대장.\n이번엔 대장이 쫄아 버린 거야?%b
25	map	1	35	/AWRD.MAP@142842	ほっほっほっ、\n行くしかなかろう。%b	허허허,\n갈 수밖에 없지.%b
26	map	1	28	/AWRD.MAP@142909	オレも%s0に\nついて行くぜ！%b	나도 %s0를\n따라가겠어!%b
27	map	1	20	/AWRD.MAP@142970	しようがねぇよな。%b	어쩔 수 없지.%b
28	map	1	41	/AWRD.MAP@143023	あたしもだ。\nみんなのところへ帰るんだ。%b	나도야.\n다들 곁으로 돌아갈 거야.%b
29	map	2	59	/AWRD.MAP@143097	ウッホウッホウッホホッホーッ！\n（↑はりきっているらしい）%b	우호우호우호호호!\n（↑의욕이 넘치는 듯하다）%b
30	map	1	39	/AWRD.MAP@143188	わかった、わかった。\nオレも行くよ。%b%h	알았어, 알았어.\n나도 갈게.%b%h
31	map	1	54	/AWRD.MAP@143259	こんな所にひとりでおいてかれちゃ、つまんねぇからな。%b	이런 곳에 혼자 남겨지면 재미없으니까.%b
32	map	1	35	/AWRD.MAP@143345	よし、\nみんなのところにもどるぞ！%b	좋아,\n다들 있는 곳으로 돌아가자!%b
33	map	2	55	/AWRD.MAP@143422	・・・また、この水晶か。\nこんな所にまであるなんてな。%b	…또 이 수정인가.\n이런 곳에까지 있다니.%b
34	map	2	70	/AWRD.MAP@143509	しかし、こいつを見てると、\n中にすいこまれそうな気分に\nなっちまうぜ。%b	하지만 이걸 보고 있으면\n안으로 빨려 들어갈 것 같은\n기분이 든다니까.%b
35	map	38	22	/AWRD.MAP@143611	・・・・・・・・・。%b	………%b
36	map	2	32	/AWRD.MAP@143665	・・・まさか、とは思うけどな。%b	…설마 싶긴 하지만.%b
37	map	4	22	/AWRD.MAP@143698	水晶にふれてみますか？	수정을 만져 볼까요?
38	map	4	6	/AWRD.MAP@143721	ふれる	만진다
39	map	4	8	/AWRD.MAP@143728	ふれない	그만둔다
40	map	1	19	/AWRD.MAP@144154	・・・ふぅ・・・。\n	…휴….\n
